"TIME","GEO","HHTYP","Value","Flag and Footnotes"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Single person","33.6","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Single female","18.7","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Single male","14.9","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Single person with dependent children","4.2","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","One adult 65 years or over","14.7","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","One adult younger than 65 years","18.9","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Two adults","28.6","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Two adults with one dependent child","8.8","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Two adults with two dependent children","9.3","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Two adults younger than 65 years","14.5","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Two adults, at least one aged 65 years or over","14.1","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Two adults with three or more dependent children","2.9","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Three or more adults","7.9","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Three or more adults with dependent children","4.7","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Households with dependent children","29.9","e"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Households without dependent children","70.1","e"
"2019","European Union - 27 countries (from 2020)","Single person","34.1","e"
"2019","European Union - 27 countries (from 2020)","Single female","19.1","e"
"2019","European Union - 27 countries (from 2020)","Single male","15.0","e"
"2019","European Union - 27 countries (from 2020)","Single person with dependent children","4.0","e"
"2019","European Union - 27 countries (from 2020)","One adult 65 years or over","14.7","e"
"2019","European Union - 27 countries (from 2020)","One adult younger than 65 years","19.4","e"
"2019","European Union - 27 countries (from 2020)","Two adults","28.2","e"
"2019","European Union - 27 countries (from 2020)","Two adults with one dependent child","8.8","e"
"2019","European Union - 27 countries (from 2020)","Two adults with two dependent children","9.1","e"
"2019","European Union - 27 countries (from 2020)","Two adults younger than 65 years","14.1","e"
"2019","European Union - 27 countries (from 2020)","Two adults, at least one aged 65 years or over","14.1","e"
"2019","European Union - 27 countries (from 2020)","Two adults with three or more dependent children","2.9","e"
"2019","European Union - 27 countries (from 2020)","Three or more adults","8.1","e"
"2019","European Union - 27 countries (from 2020)","Three or more adults with dependent children","4.8","e"
"2019","European Union - 27 countries (from 2020)","Households with dependent children","29.7","e"
"2019","European Union - 27 countries (from 2020)","Households without dependent children","70.3","e"
"2019","European Union - 28 countries (2013-2020)","Single person","33.6","e"
"2019","European Union - 28 countries (2013-2020)","Single female","18.7","e"
"2019","European Union - 28 countries (2013-2020)","Single male","14.9","e"
"2019","European Union - 28 countries (2013-2020)","Single person with dependent children","4.2","e"
