"TRANS1G","GEO","UNIT","TIME","ISCED11","SEX","Value","Flag and Footnotes"
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","83.1",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","83.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","44.9",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","47.2",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","2019","Tertiary education (levels 5-8)","Males","26.4",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Percentage","2019","Tertiary education (levels 5-8)","Females","28.5",""
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 27 countries (from 2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Males","83.1","e"
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 27 countries (from 2020)","Percentage","2019","Less than primary, primary and lower secondary education (levels 0-2)","Females","83.2","e"
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 27 countries (from 2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Males","44.9","e"
"From pre-primary, primary and lower secondary education (levels 0-2) of the parents","European Union - 27 countries (from 2020)","Percentage","2019","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Females","47.2","e"
