"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2011","ES",42,"1","2011","11",8149,2673,0,0,,,,,,,,,0,0,0,0,0,,51,,0,0,0,,5475,,"3","3","NA","2","2","1","1","1","3","1","1","4","600","1","1","2","2","2","2","4","1","3","2","1","NA","500","813.85","570.5","1","1",,"1",1,,,,,
"2011","ES",54,"2","2011","9",1816,1767,0,0,,,,,,,,,0,0,0,0,0,,320,,0,0,0,,49,,"NA","3","NA","1","1","1","1","1","1","1","1","5","1500","2","NA","2","2","2","2","1","1","6","2","1","NA","1500","1148.97","0","1","1",,"1",1,,,,,
"2011","ES",71,"2","2011","5",24071,24019,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,52,,"NA","3","NA","1","2","2","1","1","1","1","1","5","1200","2","NA","2","2","2","2","4","1","6","1","1","NA","900","195.79","0","1","1",,"1",1,,,,,
"2011","ES",84,"2","2011","4",509,509,0,0,,,,,,,,,0,0,0,0,0,,509,,0,0,0,,0,,"3","3","NA","1","1","1","1","1","1","1","1","2","3000","2","NA","2","2","2","2","2","3","5","1","1","NA","850","303.65","75","1","1",,"1",1,,,,,
"2011","ES",95,"2","2011","7",16755,7987,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,8768,,"NA","1","NA","1","1","1","1","1","1","1","1","3","2000","1","NA","2","2","1","2","4","1","5","2","1","NA","800","437.66","0","1","1",,"1",1,,,,,
"2011","ES",105,"2","2011","8",8141,8141,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,0,,"3","3","3","2","1","2","1","1","1","1","3","5","2000","2","NA","2","2","2","2","4","2","4","2","1","NA","350","117.95","250","1","1",,"1",1,,,,,
"2011","ES",128,"2","2011","4",258,-2360,0,0,,,,,,,,,0,0,0,0,0,,258,,0,0,0,,2619,,"NA","3","NA","1","1","2","1","1","1","1","1","3","2000","1","NA","1","1","2","2","3","1","6","2","1","NA","400","402.89","0","1","1",,"1",1,,,,,
"2011","ES",144,"2","2011","3",4341,4592,0,0,,,,,,,,,0,0,0,0,0,,155,,0,0,0,,-251,,"1","3","NA","1","1","1","1","1","1","1","1","5","1600","2","2","2","2","2","2","4","1","6","2","1","NA","650","164.35","0","1","1",,"1",1,,,,,
"2011","ES",150,"2","2011","8",8425,7448,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,977,,"NA","3","NA","1","1","1","1","1","3","1","1","3","1600","2","NA","2","2","2","2","1","1","6","2","2","NA","600","528.55","0","1","1",,"1",1,,,,,
"2011","ES",154,"2","2011","4",9513,6999,0,0,,,,,,,,,0,0,0,0,0,,461,,0,0,0,,2514,,"NA","3","NA","2","1","1","1","1","1","1","1","4","2500","1","NA","2","2","2","2","4","1","5","2","1","360","1200","292.56","550","1","1",,"1",1,,,,,
