"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2011","FI",45,"1","2011","22",15178,13072,0,0,,,,,,,,,0,0,0,0,0,,0,,0,36,331,,1738,,"3","2","NA","1","1","1","1","1","1","1","1","5","6000","3","NA","2","2","2","2","4","1","4","2","1","NA","NA","1027","0","1","1",,"1",1,,,,,
"2011","FI",53,"1","2011","26",15087,12542,0,0,,,,,,,,,0,0,0,0,0,,5185,,0,0,0,,2545,,"NA","3","NA","2","1","1","1","1","1","1","2","5","800","3","NA","2","2","1","2","1","2","5","2","1","578","NA","196","0","1","1",,"1",1,,,,,
"2011","FI",61,"1","2011","12",40194,25581,0,0,,,,,,,,,0,0,5206,12906,0,,0,,0,0,0,,14613,,"3","3","3","1","1","1","1","1","1","1","1","6","2000","3","NA","2","2","1","2","1","2","6","2","1","1400","NA","958","586.41","1","1",,"1",1,,,,,
"2011","FI",65,"1","2011","24",12585,12504,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,81,,"NA","3","3","2","1","1","1","1","1","1","2","4","3500","1","2","2","2","2","2","1","1","6","2","1","NA","NA","225","1120.25","1","1",,"1",1,,,,,
"2011","FI",83,"1","2011","37",36882,28817,0,0,,,,,,,,,0,0,0,0,0,,70,,0,0,0,,8065,,"NA","3","3","2","1","1","1","1","1","1","3","4","NA","3","3","2","2","2","2","4","4","3","2","1","NA","NA","373","0","1","1",,"1",1,,,,,
"2011","FI",110,"1","2011","20",28049,26882,3224,3224,,,,,,,,,3224,0,0,0,0,,872,,0,11,76,,1081,,"3","3","3","1","1","1","1","1","1","1","1","4","1000","2","NA","2","1","2","2","4","3","5","2","1","NA","NA","565","84.91","1","1",,"1",1,,,,,
"2011","FI",120,"1","2011","23",17964,14364,1031,1031,,,,,,,,,1031,0,0,0,0,,146,,0,754,0,,2845,,"NA","3","NA","1","1","2","1","1","1","1","3","2","600","2","NA","1","1","2","2","4","2","4","2","1","1060","NA","744","0","1","1",,"1",1,,,,,
"2011","FI",124,"1","2011","15",16036,12881,0,0,,,,,,,,,0,0,1724,2234,0,,10,,0,0,90,,3065,,"3","3","3","1","1","1","1","1","3","1","1","5","1500","2","NA","2","2","2","2","4","2","4","2","1","NA","NA","144","388","1","1",,"1",1,,,,,
"2011","FI",127,"2","2011","17",15152,7934,0,0,,,,,,,,,0,0,0,0,0,,390,,0,0,206,,7011,,"NA","3","NA","1","1","1","1","1","1","1","1","5","2000","2","NA","2","2","2","2","1","2","6","2","1","NA","NA","596","0","1","1",,"1",1,,,,,
"2011","FI",130,"1","2011","26",36070,30548,0,0,,,,,,,,,0,0,0,0,0,,67,,0,0,0,,5522,,"NA","3","3","1","1","1","1","1","1","1","1","2","2000","2","2","2","2","2","2","2","2","4","2","1","NA","NA","388","781.25","1","1",,"1",1,,,,,
