"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2011","FR",193,"2","2011","41",27855,21179,0,0,,,,,,,,,0,0,0,0,0,,1213,,0,0,0,,6676,,"NA","3","NA","2","1","1","1","1","1","1","1","3","2200","1","NA","2","2","2","2","1","2","5","2","1","443","NA","784.92","0","1","1",,"1",1,,,,,
"2011","FR",244,"2","2011","23",58283,58280,0,0,,,,,,,,,0,0,0,0,2095,,435,,0,0,0,,3,,"1","3","NA","1","2","1","1","1","1","1","1","6","2000","3","NA","2","2","2","2","4","1","5","2","1","300","NA","942.33","0","1","1",,"1",1,,,,,
"2011","FR",326,"2","2011","33",36769,31684,0,0,,,,,,,,,0,0,0,0,0,,226,,0,0,0,,5085,,"NA","3","NA","1","1","1","1","1","1","1","1","4","2000","3","3","2","2","2","2","1","1","2","2","1","NA","NA","489.17","0","1","1",,"1",1,,,,,
"2011","FR",384,"2","2011","26",29283,20608,0,0,,,,,,,,,0,0,0,13389,0,,11,,0,0,0,,8675,,"NA","3","3","1","1","1","1","1","3","1","1","4","4000","3","NA","2","2","1","2","1","1","4","2","1","NA","NA","443.75","0","1","1",,"1",1,,,,,
"2011","FR",386,"2","2011","27",57671,56164,0,0,,,,,,,,,0,0,0,0,0,,47906,,0,0,0,,1507,,"3","3","NA","1","1","1","1","1","1","1","1","5","1500","3","NA","2","2","1","2","3","1","4","2","1","NA","NA","495.67","0","1","1",,"1",1,,,,,
"2011","FR",433,"2","2011","33",15502,8209,0,0,,,,,,,,,0,0,0,1629,0,,91,,0,0,0,,7292,,"3","3","NA","1","1","1","1","1","3","1","1","3","3000","3","3","2","2","2","2","2","3","4","2","1","NA","NA","163.42","0","1","1",,"1",1,,,,,
"2011","FR",486,"2","2011","17",23357,17994,0,0,,,,,,,,,0,0,0,0,0,,10558,,0,0,0,,5363,,"NA","3","3","1","1","1","1","1","1","1","1","3","2500","3","NA","2","1","2","2","2","1","6","2","1","NA","NA","356","0","1","1",,"1",1,,,,,
"2011","FR",570,"2","2011","25",70424,59804,0,0,,,,,,,,,0,0,0,0,0,,283,,0,0,0,,10620,,"NA","3","NA","1","1","2","1","1","1","1","1","3","3000","1","3","2","2","2","2","1","1","4","2","1","NA","NA","452.08","0","1","1",,"1",1,,,,,
"2011","FR",576,"2","2011","19",18350,17329,0,0,,,,,,,,,0,0,0,887,0,,1294,,0,0,129,,892,,"NA","3","NA","1","1","1","1","1","1","1","1","3","1000","1","NA","1","2","2","2","1","2","4","2","1","NA","NA","204.58","0","1","1",,"1",1,,,,,
"2011","FR",580,"2","2011","34",6284,-2119,0,0,,,,,,,,,0,0,0,0,0,,150,,0,0,0,,8403,,"3","3","3","1","1","2","1","1","1","1","1","4","3800","2","3","2","1","2","2","2","5","5","2","1","NA","NA","1445.33","1031.17","1","1",,"1",1,,,,,
